"fecha","AQI_SO2","AQI_NO2","AQI_PM10","AQI_CO","AQI_O3","ciudad","AQI","Nivel_Aire"
"2013-4-30",4,22,50,7,55,"Aotizhongxin",55,"Good"
"2013-4-4",35,42,79,30,19,"Aotizhongxin",79,"Good"
"2013-4-5",7,21,46,23,38,"Aotizhongxin",46,"Excelent"
"2013-4-6",4,14,21,7,42,"Aotizhongxin",42,"Excelent"
"2013-4-7",23,36,86,31,37,"Aotizhongxin",86,"Good"
"2013-4-8",4,11,85,7,39,"Aotizhongxin",85,"Good"
"2013-4-9",3,7,27,5,42,"Aotizhongxin",42,"Excelent"
"2013-5-1",9,26,96,6,28,"Aotizhongxin",96,"Good"
"2013-5-10",9,30,72,12,57,"Aotizhongxin",72,"Good"
"2013-5-11",11,35,90,10,55,"Aotizhongxin",90,"Good"
"2013-5-12",12,32,76,11,147,"Aotizhongxin",147,"Slightly Polluted"
"2013-5-13",38,44,114,31,156,"Aotizhongxin",156,"Lightly Polluted"
"2013-5-14",11,25,84,30,98,"Aotizhongxin",98,"Good"
"2013-5-15",35,33,104,33,209,"Aotizhongxin",209,"Moderately Polluted"
"2013-5-16",18,32,83,14,191,"Aotizhongxin",191,"Lightly Polluted"
"2013-5-17",18,27,92,20,152,"Aotizhongxin",152,"Lightly Polluted"
"2013-5-18",11,26,100,27,117,"Aotizhongxin",117,"Slightly Polluted"
"2013-5-19",6,13,109,9,46,"Aotizhongxin",109,"Slightly Polluted"
"2013-5-2",32,38,105,12,69,"Aotizhongxin",105,"Slightly Polluted"
"2013-5-20",9,29,77,5,71,"Aotizhongxin",77,"Good"
"2013-5-23",26,44,119,27,205,"Aotizhongxin",205,"Moderately Polluted"
"2013-5-24",11,38,112,30,129,"Aotizhongxin",129,"Slightly Polluted"
"2013-5-25",17,31,84,18,223,"Aotizhongxin",223,"Moderately Polluted"
"2013-5-26",7,28,82,29,22,"Aotizhongxin",82,"Good"
"2013-5-27",4,28,66,15,30,"Aotizhongxin",66,"Good"
"2013-5-28",2,35,67,15,21,"Aotizhongxin",67,"Good"
"2013-5-29",3,16,52,5,73,"Aotizhongxin",73,"Good"
"2013-5-3",15,15,61,15,129,"Aotizhongxin",129,"Slightly Polluted"
"2013-5-30",11,42,93,11,202,"Aotizhongxin",202,"Moderately Polluted"
"2013-5-31",17,27,102,13,209,"Aotizhongxin",209,"Moderately Polluted"
"2013-5-4",16,19,84,9,113,"Aotizhongxin",113,"Slightly Polluted"
"2013-5-5",26,36,144,21,200,"Aotizhongxin",200,"Lightly Polluted"
"2013-5-6",18,26,153,21,213,"Aotizhongxin",213,"Moderately Polluted"
"2013-5-7",28,43,138,18,215,"Aotizhongxin",215,"Moderately Polluted"
"2013-5-8",38,33,103,22,87,"Aotizhongxin",103,"Slightly Polluted"
"2013-5-9",12,31,57,9,35,"Aotizhongxin",57,"Good"
"2013-6-1",5,31,84,10,122,"Aotizhongxin",122,"Slightly Polluted"
"2013-6-10",3,35,34,9,53,"Aotizhongxin",53,"Good"
"2013-6-11",3,44,67,8,158,"Aotizhongxin",158,"Lightly Polluted"
"2013-6-12",8,35,59,14,202,"Aotizhongxin",202,"Moderately Polluted"
"2013-6-13",18,42,93,23,236,"Aotizhongxin",236,"Moderately Polluted"
"2013-6-14",18,40,103,13,231,"Aotizhongxin",231,"Moderately Polluted"
"2013-6-15",20,55,114,20,215,"Aotizhongxin",215,"Moderately Polluted"
"2013-6-16",20,46,116,29,48,"Aotizhongxin",116,"Slightly Polluted"
"2013-6-17",5,28,52,14,189,"Aotizhongxin",189,"Lightly Polluted"
"2013-6-18",8,46,73,10,165,"Aotizhongxin",165,"Lightly Polluted"
"2013-6-19",12,29,78,17,173,"Aotizhongxin",173,"Lightly Polluted"
"2013-6-2",8,34,115,27,105,"Aotizhongxin",115,"Slightly Polluted"
"2013-6-20",6,30,52,5,79,"Aotizhongxin",79,"Good"
"2013-6-28",13,37,243,34,79,"Aotizhongxin",243,"Moderately Polluted"
"2013-6-29",6,31,76,27,40,"Aotizhongxin",76,"Good"
"2013-6-3",8,40,101,17,243,"Aotizhongxin",243,"Moderately Polluted"
"2013-6-30",10,35,137,34,71,"Aotizhongxin",137,"Slightly Polluted"
"2013-6-4",7,44,106,23,100,"Aotizhongxin",106,"Slightly Polluted"
"2013-6-5",2,28,82,25,20,"Aotizhongxin",82,"Good"
"2013-6-6",2,29,91,30,14,"Aotizhongxin",91,"Good"
"2013-6-7",3,34,89,27,5,"Aotizhongxin",89,"Good"
"2013-6-8",4,41,122,32,5,"Aotizhongxin",122,"Slightly Polluted"
"2013-6-9",3,34,52,26,18,"Aotizhongxin",52,"Good"
"2013-7-1",10,37,96,28,14,"Aotizhongxin",96,"Good"
"2013-7-10",2,27,38,7,30,"Aotizhongxin",38,"Excelent"
"2013-7-11",2,28,43,8,31,"Aotizhongxin",43,"Excelent"
"2013-7-12",4,24,67,11,245,"Aotizhongxin",245,"Moderately Polluted"
"2013-7-13",5,24,81,20,188,"Aotizhongxin",188,"Lightly Polluted"
"2013-7-14",9,24,72,18,188,"Aotizhongxin",188,"Lightly Polluted"
"2013-7-15",2,26,30,21,20,"Aotizhongxin",30,"Excelent"
"2013-7-16",3,21,29,12,43,"Aotizhongxin",43,"Excelent"
"2013-7-17",7,30,64,10,205,"Aotizhongxin",205,"Moderately Polluted"
"2013-7-18",9,27,89,23,74,"Aotizhongxin",89,"Good"
"2013-7-19",6,25,85,11,206,"Aotizhongxin",206,"Moderately Polluted"
"2013-7-2",3,22,26,24,63,"Aotizhongxin",63,"Good"
"2013-7-20",4,25,72,12,188,"Aotizhongxin",188,"Lightly Polluted"
"2013-7-21",5,29,76,11,171,"Aotizhongxin",171,"Lightly Polluted"
"2013-7-22",9,31,87,15,172,"Aotizhongxin",172,"Lightly Polluted"
"2013-7-23",5,18,59,10,144,"Aotizhongxin",144,"Slightly Polluted"
"2013-7-24",5,25,56,9,96,"Aotizhongxin",96,"Good"
"2013-7-25",7,25,65,18,232,"Aotizhongxin",232,"Moderately Polluted"
"2013-7-26",15,33,63,24,17,"Aotizhongxin",63,"Good"
"2013-7-27",3,34,67,17,19,"Aotizhongxin",67,"Good"
"2013-7-28",4,27,49,28,204,"Aotizhongxin",204,"Moderately Polluted"
"2013-7-29",3,41,72,14,196,"Aotizhongxin",196,"Lightly Polluted"
"2013-7-3",5,36,63,9,146,"Aotizhongxin",146,"Slightly Polluted"
"2013-7-30",4,30,89,13,246,"Aotizhongxin",246,"Moderately Polluted"
"2013-7-31",4,24,60,9,218,"Aotizhongxin",218,"Moderately Polluted"
"2013-7-4",4,29,56,7,210,"Aotizhongxin",210,"Moderately Polluted"
"2013-7-5",3,23,44,7,171,"Aotizhongxin",171,"Lightly Polluted"
"2013-7-6",7,30,90,13,211,"Aotizhongxin",211,"Moderately Polluted"
"2013-7-7",5,22,80,15,215,"Aotizhongxin",215,"Moderately Polluted"
"2013-7-8",3,28,68,12,130,"Aotizhongxin",130,"Slightly Polluted"
"2013-7-9",4,31,61,13,32,"Aotizhongxin",61,"Good"
"2013-8-1",2,32,34,11,36,"Aotizhongxin",36,"Excelent"
"2013-8-10",5,22,92,14,259,"Aotizhongxin",259,"Heavily Polluted"
"2013-8-11",3,25,106,23,153,"Aotizhongxin",153,"Lightly Polluted"
"2013-8-12",2,24,50,8,118,"Aotizhongxin",118,"Slightly Polluted"
"2013-8-13",4,27,69,11,180,"Aotizhongxin",180,"Lightly Polluted"
"2013-8-14",3,38,69,10,220,"Aotizhongxin",220,"Moderately Polluted"
"2013-8-15",5,31,93,18,206,"Aotizhongxin",206,"Moderately Polluted"
"2013-8-16",4,33,99,33,101,"Aotizhongxin",101,"Slightly Polluted"
"2013-8-17",6,24,57,17,65,"Aotizhongxin",65,"Good"
"2013-8-18",3,20,33,9,127,"Aotizhongxin",127,"Slightly Polluted"
"2013-8-19",3,31,47,9,127,"Aotizhongxin",127,"Slightly Polluted"
"2013-8-2",4,30,60,12,219,"Aotizhongxin",219,"Moderately Polluted"
"2013-8-20",8,34,96,20,172,"Aotizhongxin",172,"Lightly Polluted"
"2013-8-21",5,28,67,14,142,"Aotizhongxin",142,"Slightly Polluted"
"2013-8-22",3,52,98,16,29,"Aotizhongxin",98,"Good"
"2013-8-23",4,35,66,15,89,"Aotizhongxin",89,"Good"
"2013-8-24",4,37,63,11,120,"Aotizhongxin",120,"Slightly Polluted"
"2013-8-25",4,34,68,10,223,"Aotizhongxin",223,"Moderately Polluted"
"2013-8-26",7,32,76,23,208,"Aotizhongxin",208,"Moderately Polluted"
"2013-8-27",6,33,67,20,34,"Aotizhongxin",67,"Good"
"2013-8-28",3,28,42,33,26,"Aotizhongxin",42,"Excelent"
"2013-8-29",2,13,25,4,31,"Aotizhongxin",31,"Excelent"
"2013-8-3",2,27,48,5,159,"Aotizhongxin",159,"Lightly Polluted"
"2013-8-30",1,16,23,6,35,"Aotizhongxin",35,"Excelent"
"2013-8-31",3,22,44,6,66,"Aotizhongxin",66,"Good"
"2013-8-4",2,19,61,9,87,"Aotizhongxin",87,"Good"
"2013-8-5",2,25,44,7,269,"Aotizhongxin",269,"Heavily Polluted"
"2013-8-6",3,28,111,13,217,"Aotizhongxin",217,"Moderately Polluted"
"2013-8-7",3,22,23,7,35,"Aotizhongxin",35,"Excelent"
"2013-8-8",4,31,54,8,207,"Aotizhongxin",207,"Moderately Polluted"
"2013-8-9",5,26,59,7,232,"Aotizhongxin",232,"Moderately Polluted"
"2013-9-1",6,25,68,14,165,"Aotizhongxin",165,"Lightly Polluted"
"2013-9-10",6,28,65,13,38,"Aotizhongxin",65,"Good"
"2013-9-11",9,32,76,14,152,"Aotizhongxin",152,"Lightly Polluted"
"2013-9-12",14,57,122,23,100,"Aotizhongxin",122,"Slightly Polluted"
"2013-9-13",2,33,74,19,29,"Aotizhongxin",74,"Good"
"2013-9-14",3,26,54,16,41,"Aotizhongxin",54,"Good"
"2013-9-15",6,28,55,8,39,"Aotizhongxin",55,"Good"
"2013-9-16",10,33,75,14,43,"Aotizhongxin",75,"Good"
"2013-9-17",9,38,83,26,0,"Aotizhongxin",83,"Good"
"2013-9-18",10,31,74,36,31,"Aotizhongxin",74,"Good"
"2013-9-19",10,28,75,23,76,"Aotizhongxin",76,"Good"
"2013-9-2",6,26,61,15,161,"Aotizhongxin",161,"Lightly Polluted"
"2013-9-20",3,27,60,17,39,"Aotizhongxin",60,"Good"
"2013-9-21",5,27,61,12,140,"Aotizhongxin",140,"Slightly Polluted"
"2013-9-22",6,44,88,30,12,"Aotizhongxin",88,"Good"
"2013-9-23",5,20,53,33,17,"Aotizhongxin",53,"Good"
"2013-9-24",4,20,23,8,31,"Aotizhongxin",31,"Excelent"
"2013-9-25",3,25,39,7,37,"Aotizhongxin",39,"Excelent"
"2013-9-26",9,37,70,17,65,"Aotizhongxin",70,"Good"
"2013-9-27",19,52,128,23,204,"Aotizhongxin",204,"Moderately Polluted"
"2013-9-28",12,41,152,19,115,"Aotizhongxin",152,"Lightly Polluted"
"2013-9-29",10,49,139,19,29,"Aotizhongxin",139,"Slightly Polluted"
"2013-9-3",6,28,89,17,193,"Aotizhongxin",193,"Lightly Polluted"
"2013-9-30",16,46,105,21,30,"Aotizhongxin",105,"Slightly Polluted"
"2013-9-4",3,26,56,12,40,"Aotizhongxin",56,"Good"
"2013-9-5",3,19,23,13,47,"Aotizhongxin",47,"Excelent"
"2013-9-6",8,27,57,23,106,"Aotizhongxin",106,"Slightly Polluted"
"2013-9-7",6,32,67,25,87,"Aotizhongxin",87,"Good"
"2013-9-8",11,33,82,30,50,"Aotizhongxin",82,"Good"
"2013-9-9",6,27,63,17,89,"Aotizhongxin",89,"Good"
"2014-1-1",15,35,109,31,29,"Aotizhongxin",109,"Slightly Polluted"
"2014-1-10",32,38,67,25,9,"Aotizhongxin",67,"Good"
"2014-1-11",42,50,100,58,2,"Aotizhongxin",100,"Good"
"2014-1-12",13,18,38,12,28,"Aotizhongxin",38,"Excelent"
"2014-1-13",40,41,78,33,8,"Aotizhongxin",78,"Good"
"2014-1-14",45,40,74,45,12,"Aotizhongxin",74,"Good"
"2014-1-15",48,49,115,56,10,"Aotizhongxin",115,"Slightly Polluted"
"2014-1-16",70,69,261,76,9,"Aotizhongxin",261,"Heavily Polluted"
"2014-1-17",35,33,91,46,29,"Aotizhongxin",91,"Good"
"2014-1-18",25,35,66,29,19,"Aotizhongxin",66,"Good"
"2014-1-19",42,36,126,40,28,"Aotizhongxin",126,"Slightly Polluted"
"2014-1-2",49,47,119,49,2,"Aotizhongxin",119,"Slightly Polluted"
"2014-1-20",5,4,37,5,26,"Aotizhongxin",37,"Excelent"
"2014-1-21",21,24,59,21,21,"Aotizhongxin",59,"Good"
"2014-1-22",44,47,95,39,8,"Aotizhongxin",95,"Good"
"2014-1-23",71,66,150,56,1,"Aotizhongxin",150,"Slightly Polluted"
"2014-1-24",49,46,105,56,9,"Aotizhongxin",105,"Slightly Polluted"
"2014-1-25",14,18,37,18,35,"Aotizhongxin",37,"Excelent"
"2014-1-26",24,19,59,22,27,"Aotizhongxin",59,"Good"
"2014-1-27",36,31,81,27,28,"Aotizhongxin",81,"Good"
"2014-1-28",13,21,58,17,32,"Aotizhongxin",58,"Good"
"2014-1-29",43,40,92,37,5,"Aotizhongxin",92,"Good"
"2014-1-3",18,24,80,47,30,"Aotizhongxin",80,"Good"
"2014-1-30",22,21,63,34,33,"Aotizhongxin",63,"Good"
"2014-1-31",37,25,104,19,21,"Aotizhongxin",104,"Slightly Polluted"
"2014-1-4",30,39,102,35,1,"Aotizhongxin",102,"Slightly Polluted"
"2014-1-5",23,35,81,37,25,"Aotizhongxin",81,"Good"
"2014-1-6",33,34,89,38,5,"Aotizhongxin",89,"Good"
"2014-1-7",24,31,73,35,20,"Aotizhongxin",73,"Good"
"2014-1-8",9,10,15,10,23,"Aotizhongxin",23,"Excelent"
"2014-1-9",13,20,40,15,27,"Aotizhongxin",40,"Excelent"
"2014-10-1",4,32,75,13,5,"Aotizhongxin",75,"Good"
"2014-10-10",14,50,184,21,93,"Aotizhongxin",184,"Lightly Polluted"
"2014-10-13",3,25,18,8,24,"Aotizhongxin",25,"Excelent"
"2014-10-14",4,35,69,10,34,"Aotizhongxin",69,"Good"
"2014-10-15",3,27,77,10,30,"Aotizhongxin",77,"Good"
"2014-10-16",6,31,83,10,38,"Aotizhongxin",83,"Good"
"2014-10-17",8,68,127,37,26,"Aotizhongxin",127,"Slightly Polluted"
"2014-10-18",11,87,165,45,50,"Aotizhongxin",165,"Lightly Polluted"
"2014-10-19",8,83,202,42,43,"Aotizhongxin",202,"Moderately Polluted"
"2014-10-2",4,28,54,16,21,"Aotizhongxin",54,"Good"
"2014-10-20",4,45,129,21,35,"Aotizhongxin",129,"Slightly Polluted"
"2014-10-21",12,36,47,25,12,"Aotizhongxin",47,"Excelent"
"2014-10-22",8,49,114,22,2,"Aotizhongxin",114,"Slightly Polluted"
"2014-10-23",8,57,126,28,14,"Aotizhongxin",126,"Slightly Polluted"
"2014-10-24",7,65,168,34,29,"Aotizhongxin",168,"Lightly Polluted"
"2014-10-25",4,61,192,37,82,"Aotizhongxin",192,"Lightly Polluted"
"2014-10-26",2,26,65,30,29,"Aotizhongxin",65,"Good"
"2014-10-27",4,30,47,14,23,"Aotizhongxin",47,"Excelent"
"2014-10-28",7,39,82,16,24,"Aotizhongxin",82,"Good"
"2014-10-29",7,58,113,29,12,"Aotizhongxin",113,"Slightly Polluted"
"2014-10-3",4,33,79,30,8,"Aotizhongxin",79,"Good"
"2014-10-30",10,61,122,26,26,"Aotizhongxin",122,"Slightly Polluted"
"2014-10-31",7,57,105,30,10,"Aotizhongxin",105,"Slightly Polluted"
"2014-10-4",1,24,65,28,32,"Aotizhongxin",65,"Good"
"2014-10-5",1,23,31,11,34,"Aotizhongxin",34,"Excelent"
"2014-10-6",2,29,51,8,40,"Aotizhongxin",51,"Good"
"2014-10-7",6,52,117,21,36,"Aotizhongxin",117,"Slightly Polluted"
"2014-10-8",5,67,167,31,27,"Aotizhongxin",167,"Lightly Polluted"
"2014-10-9",4,56,194,26,43,"Aotizhongxin",194,"Lightly Polluted"
"2014-11-1",4,30,56,33,26,"Aotizhongxin",56,"Good"
"2014-11-10",4,43,64,19,19,"Aotizhongxin",64,"Good"
"2014-11-11",4,18,58,24,28,"Aotizhongxin",58,"Good"
"2014-11-12",3,5,34,5,32,"Aotizhongxin",34,"Excelent"
"2014-11-13",3,28,39,16,26,"Aotizhongxin",39,"Excelent"
"2014-11-14",8,34,55,16,22,"Aotizhongxin",55,"Good"
"2014-11-15",23,59,111,39,1,"Aotizhongxin",111,"Slightly Polluted"
"2014-11-16",12,37,74,41,24,"Aotizhongxin",74,"Good"
"2014-11-17",7,24,32,13,28,"Aotizhongxin",32,"Excelent"
"2014-11-18",14,45,73,25,6,"Aotizhongxin",73,"Good"
"2014-11-19",27,85,183,58,1,"Aotizhongxin",183,"Lightly Polluted"
"2014-11-2",3,14,17,5,28,"Aotizhongxin",28,"Excelent"
"2014-11-20",19,87,257,63,1,"Aotizhongxin",257,"Heavily Polluted"
"2014-11-21",11,61,144,52,23,"Aotizhongxin",144,"Slightly Polluted"
"2014-11-22",8,34,55,26,19,"Aotizhongxin",55,"Good"
"2014-11-23",12,55,113,32,1,"Aotizhongxin",113,"Slightly Polluted"
"2014-11-24",6,43,79,47,17,"Aotizhongxin",79,"Good"
